"record_id","timestamp","road_id","road_name","district","direction","lane","speed_limit","hour","is_weekend","weather","rainfall_mm","temperature_c","visibility_m","volume","occupancy","avg_headway_s","signal_delay_s","incident","speed_kmh","congestion_level","is_congested"
"T00042","2026-05-01 16:15","R101","Central Ave","中心区","Southbound","2","50","16","0","clear","0","19.5","5998","162","0.581","7.1","18.7","0","28","moderate","1"
"T00043","2026-05-01 16:30","R330","Commerce Blvd","商业区","Westbound","1","55","16","0","clear","0","25.5","4001","170","0.614","6.9","32.7","0","25","moderate","1"
"T00044","2026-05-01 16:45","R330","Commerce Blvd","商业区","Southbound","1","55","16","0","cloudy","0","28.6","3998","110","0.371","8.6","20.3","1","36","moderate","0"
"T00045","2026-05-01 17:00","R101","Central Ave","中心区","Northbound","2","50","17","0","cloudy","0","24.5","3058","206","0.743","5.2","56.8","0","18","severe","1"
"T00046","2026-05-01 17:15","R205","University Rd","学校区","Westbound","2","60","17","0","cloudy","0","28.2","4492","220","0.708","6.7","38.5","0","31","moderate","1"
"T00047","2026-05-01 17:30","R101","Central Ave","中心区","Eastbound","1","50","17","0","cloudy","0","27.2","5308","254","0.837","5.1","54.9","0","8","severe","1"
"T00048","2026-05-01 17:45","R205","University Rd","学校区","Westbound","1","60","17","0","rain","15.7","18.6","1952","212","0.732","6.4","53.8","0","20","severe","1"
"T00049","2026-05-01 18:00","R205","University Rd","学校区","Westbound","1","60","18","0","cloudy","0","21.5","2930","273","0.95","4","58.8","0","12","severe","1"
"T00050","2026-05-01 18:15","R330","Commerce Blvd","商业区","Westbound","3","55","18","0","clear","0","28","3043","265","0.95","5.1","43","0","9","severe","1"
"T00051","2026-05-01 18:30","R101","Central Ave","中心区","Northbound","3","50","18","0","clear","0","19.1","5563","293","0.95","2.8","55.8","0","8","severe","1"
"T00052","2026-05-01 18:45","R418","River Tunnel","隧道区","Eastbound","1","70","18","0","clear","0","22.5","2207","242","0.822","5.7","52.2","0","33","moderate","1"
"T00053","2026-05-01 19:00","R205","University Rd","学校区","Northbound","3","60","19","0","fog","0","29.5","845","237","0.781","5.9","60.6","0","16","severe","1"
"T00054","2026-05-01 19:15","R205","University Rd","学校区","Eastbound","3","60","19","0","cloudy","0","31.2","2489","241","0.882","5","51.8","0","15","severe","1"
"T00055","2026-05-01 19:30","R101","Central Ave","中心区","Southbound","3","50","19","0","rain","16.3","25.6","1189","292","0.95","3.1","51.1","0","8","severe","1"
"T00056","2026-05-01 19:45","R101","Central Ave","中心区","Eastbound","3","50","19","0","cloudy","0","31.3","3482","176","0.568","8.6","49","0","24","severe","1"
"T00057","2026-05-01 20:00","R418","River Tunnel","隧道区","Westbound","2","70","20","0","clear","0","30.7","4560","86","0.29","9.8","32.8","0","64","free_flow","0"
"T00058","2026-05-01 20:15","R101","Central Ave","中心区","Westbound","3","50","20","0","clear","0","32.6","4673","145","0.538","7.3","17","0","36","moderate","0"
"T00059","2026-05-01 20:30","R330","Commerce Blvd","商业区","Northbound","2","55","20","0","cloudy","0","31.7","4066","113","0.447","9.6","18.9","0","47","free_flow","0"
"T00060","2026-05-01 20:45","R330","Commerce Blvd","商业区","Eastbound","3","55","20","0","cloudy","0","25.4","2632","155","0.547","7","31","0","29","moderate","1"
"T00061","2026-05-01 21:00","R205","University Rd","学校区","Eastbound","1","60","21","0","clear","0","29.2","3831","162","0.501","6.7","23.1","0","44","free_flow","0"
"T00062","2026-05-01 21:15","R205","University Rd","学校区","Southbound","1","60","21","0","cloudy","0","20.1","3992","85","0.307","11.2","24.9","0","50","free_flow","0"
"T00063","2026-05-01 21:30","R418","River Tunnel","隧道区","Southbound","1","70","21","0","cloudy","0","29","2437","94","0.282","9.1","30.9","0","64","free_flow","0"
"T00064","2026-05-01 21:45","R205","University Rd","学校区","Northbound","2","60","21","0","clear","0","21","4180","152","0.494","8.4","32.5","0","40","free_flow","0"
"T00065","2026-05-01 22:00","R101","Central Ave","中心区","Northbound","2","50","22","0","clear","0","19.9","4254","153","0.577","7.2","21.1","0","28","moderate","1"
"T00066","2026-05-01 22:15","R101","Central Ave","中心区","Westbound","3","50","22","0","","0","30.2","4723","144","0.5","8.1","34.1","0","26","moderate","1"
"T00067","2026-05-01 22:30","R101","Central Ave","中心区","Southbound","2","50","22","0","clear","0","23.9","2648","121","0.435","10.1","29.9","0","32","moderate","1"
"T00068","2026-05-01 22:45","R205","University Rd","学校区","Northbound","1","60","22","0","rain","5.5","22.8","1775","130","0.424","9.7","42.6","0","39","moderate","0"
"T00069","2026-05-01 23:00","R101","Central Ave","中心区","Westbound","3","50","23","0","clear","0","19.3","2847","140","0.519","8.4","16.5","0","33","moderate","1"
"T00070","2026-05-01 23:15","R330","Commerce Blvd","商业区","Westbound","1","55","23","0","rain","7.5","25.5","1941","155","0.526","9.3","26.6","0","31","moderate","1"
"T00071","2026-05-01 23:30","R330","Commerce Blvd","商业区","Eastbound","2","55","23","0","clear","0","20.9","2558","176","0.602","8.4","36.4","0","28","moderate","1"
"T00072","2026-05-01 23:45","R101","Central Ave","中心区","Southbound","2","50","23","0","clear","0","19.6","2709","100","0.308","9.6","","0","48","free_flow","0"
"T00073","2026-05-02 00:00","R418","River Tunnel","隧道区","Eastbound","2","70","0","1","clear","0","32.2","3710","108","0.35","9.7","21.3","0","59","free_flow","0"
"T00074","2026-05-02 00:15","R330","Commerce Blvd","商业区","Westbound","3","55","0","1","clear","0","22.6","5966","123","0.463","8.9","28.2","0","37","moderate","0"
"T00075","2026-05-02 00:30","R205","University Rd","学校区","Southbound","1","60","0","1","cloudy","0","18","5946","101","0.394","9.5","36.7","0","46","free_flow","0"
"T00076","2026-05-02 00:45","R330","Commerce Blvd","商业区","Southbound","2","55","0","1","clear","0","19.9","2266","84","0.242","9.2","32.6","0","53","free_flow","0"
"T00077","2026-05-02 01:00","R418","River Tunnel","隧道区","Eastbound","3","70","1","1","fog","0","19.9","772","111","0.357","9.4","26.7","0","56","free_flow","0"
"T00078","2026-05-02 01:15","R330","Commerce Blvd","商业区","Westbound","1","55","1","1","clear","0","17.5","5174","125","0.495","8.7","24.1","0","44","free_flow","0"
"T00079","2026-05-02 01:30","R101","Central Ave","中心区","Northbound","3","50","1","1","clear","0","31","2961","93","0.356","9.7","16.1","1","30","moderate","1"
"T00080","2026-05-02 01:45","R418","River Tunnel","隧道区","Westbound","2","70","1","1","clear","0","27.9","5110","53","0.178","10.3","18.5","0","74","free_flow","0"
"T00081","2026-05-02 02:00","R205","University Rd","学校区","Southbound","1","60","2","1","fog","0","25.6","740","103","0.322","10.6","39.8","0","39","moderate","0"
"T00082","2026-05-02 02:15","R418","River Tunnel","隧道区","Southbound","1","70","2","1","rain","14.5","28.8","1954","41","0.121","12.6","25.8","0","73","free_flow","0"
"T00083","2026-05-02 02:30","R418","River Tunnel","隧道区","Southbound","1","70","2","1","cloudy","0","28.7","4773","69","0.236","12","17.3","0","66","free_flow","0"
"T00084","2026-05-02 02:45","R205","University Rd","学校区","Northbound","1","60","2","1","clear","0","28.2","2428","115","0.434","10","29.6","0","42","free_flow","0"
"T00085","2026-05-02 03:00","R418","River Tunnel","隧道区","Northbound","1","70","3","1","clear","0","31.2","4990","78","0.279","9.6","20.4","0","67","free_flow","0"
"T00086","2026-05-02 03:15","R101","Central Ave","中心区","Northbound","1","50","3","1","clear","0","24.2","3240","120","0.462","10.1","29.6","0","35","moderate","0"
"T00087","2026-05-02 03:30","R330","Commerce Blvd","商业区","Westbound","3","55","3","1","clear","0","23.7","4325","103","0.36","9.6","30.2","0","48","free_flow","0"
"T00088","2026-05-02 03:45","R101","Central Ave","中心区","Westbound","1","50","3","1","cloudy","0","19","2501","56","0.148","11.1","24.7","0","50","free_flow","0"
"T00089","2026-05-02 04:00","R330","Commerce Blvd","商业区","Northbound","2","55","4","1","cloudy","0","29.1","4311","145","0.549","7.5","31.2","0","39","moderate","0"
"T00090","2026-05-02 04:15","R418","River Tunnel","隧道区","Eastbound","1","70","4","1","cloudy","0","24.9","3617","71","0.26","11.8","20.3","0","64","free_flow","0"
"T00091","2026-05-02 04:30","R418","River Tunnel","隧道区","Westbound","2","70","4","1","rain","4.1","20.5","945","79","0.267","10.3","35.6","0","63","free_flow","0"
"T00092","2026-05-02 04:45","R330","Commerce Blvd","商业区","Westbound","1","55","4","1","cloudy","0","23","3233","112","0.365","8.3","18.2","0","49","free_flow","0"
"T00093","2026-05-02 05:00","R205","University Rd","学校区","Westbound","2","60","5","1","cloudy","0","31.7","2681","121","0.396","9.7","26.4","0","49","free_flow","0"
"T00094","2026-05-02 05:15","R101","Central Ave","中心区","Southbound","2","50","5","1","rain","5.9","28.9","1764","135","0.466","9.4","41.7","0","29","moderate","1"
"T00095","2026-05-02 05:30","R330","Commerce Blvd","商业区","Eastbound","2","55","5","1","clear","0","26.5","4435","102","0.375","9.6","29.1","0","50","free_flow","0"
"T00096","2026-05-02 05:45","R205","University Rd","学校区","Southbound","1","60","5","1","cloudy","0","25.3","2586","107","0.386","8.6","29.5","0","54","free_flow","0"
"T00097","2026-05-02 06:00","R205","University Rd","学校区","Southbound","3","60","6","1","fog","0","18.8","304","107","0.393","8.6","42.3","0","42","free_flow","0"
"T00098","2026-05-02 06:15","R205","University Rd","学校区","Northbound","2","60","6","1","fog","0","19.5","752","97","0.317","9.4","25.8","0","53","free_flow","0"
"T00099","2026-05-02 06:30","R205","University Rd","学校区","Southbound","1","60","6","1","clear","0","18.3","5116","101","0.325","11.1","30.9","0","55","free_flow","0"
"T00100","2026-05-02 06:45","R418","River Tunnel","隧道区","Eastbound","3","70","6","1","cloudy","0","28","5087","94","0.378","10","20.4","0","68","free_flow","0"
"T00101","2026-05-02 07:00","R101","Central Ave","中心区","Westbound","2","50","7","1","rain","2.4","20.2","733","221","0.731","5.6","54.9","0","8","severe","1"
"T00102","2026-05-02 07:15","R101","Central Ave","中心区","Eastbound","2","50","7","1","clear","0","32.3","5983","221","0.707","5.9","56.5","0","10","severe","1"
"T00103","2026-05-02 07:30","R330","Commerce Blvd","商业区","Southbound","1","55","7","1","cloudy","0","31","4172","256","0.875","3.5","46.5","0","8","severe","1"
"T00104","2026-05-02 07:45","R330","Commerce Blvd","商业区","Southbound","1","55","7","1","clear","0","25.2","5614","216","0.728","5.6","37.4","0","19","severe","1"
"T00105","2026-05-02 08:00","R101","Central Ave","中心区","Southbound","3","50","8","1","cloudy","0","27.1","5198","202","0.744","5.8","54.9","0","14","severe","1"
"T00106","2026-05-02 08:15","R418","River Tunnel","隧道区","Westbound","1","70","8","1","clear","0","32.1","3973","183","0.617","7.5","43.2","0","46","free_flow","0"
"T00107","2026-05-02 08:30","R205","University Rd","学校区","Eastbound","1","60","8","1","clear","0","31.8","2619","171","0.612","6.9","49.5","0","34","moderate","1"
"T00108","2026-05-02 08:45","R330","Commerce Blvd","商业区","Northbound","1","55","8","1","clear","0","24.5","5727","269","0.947","4.3","43.5","0","8","severe","1"
"T00109","2026-05-02 09:00","R205","University Rd","学校区","Westbound","1","60","9","1","clear","0","21.1","5772","241","0.821","5.2","45.8","0","18","severe","1"
"T00110","2026-05-02 09:15","R101","Central Ave","中心区","Northbound","3","50","9","1","cloudy","0","18.9","4407","202","0.697","6.4","44.2","0","19","severe","1"
"T00111","2026-05-02 09:30","R101","Central Ave","中心区","Northbound","1","50","9","1","cloudy","0","19.2","4897","176","0.608","7.7","37.3","0","19","severe","1"
"T00112","2026-05-02 09:45","R418","River Tunnel","隧道区","Northbound","1","70","9","1","clear","0","31.3","2838","156","0.507","7.9","53.8","0","50","free_flow","0"
"T00113","2026-05-02 10:00","R330","Commerce Blvd","商业区","Eastbound","3","55","10","1","clear","0","23.1","4661","124","0.394","8.3","24.3","0","49","free_flow","0"
"T00114","2026-05-02 10:15","R205","University Rd","学校区","Southbound","2","60","10","1","clear","0","22.4","4293","137","0.433","9.4","29.4","0","44","free_flow","0"
"T00115","2026-05-02 10:30","R205","University Rd","学校区","Eastbound","2","60","10","1","cloudy","0","32.2","5720","136","0.418","8.5","18.7","0","50","free_flow","0"
"T00116","2026-05-02 10:45","R418","River Tunnel","隧道区","Southbound","1","70","10","1","clear","0","27.9","4903","95","0.395","10.8","15.1","0","69","free_flow","0"
"T00117","2026-05-02 11:00","R418","River Tunnel","隧道区","Northbound","3","70","11","1","clear","0","28.8","4180","99","0.332","9.9","15.8","0","68","free_flow","0"
"T00118","2026-05-02 11:15","R205","University Rd","学校区","Southbound","1","60","11","1","clear","0","32.5","3882","107","0.415","10","35.3","0","47","free_flow","0"
"T00119","2026-05-02 11:30","R101","Central Ave","中心区","Southbound","3","50","11","1","clear","0","23.6","3059","132","0.44","8.2","15.7","0","34","moderate","1"
"T00120","2026-05-02 11:45","R101","Central Ave","中心区","Eastbound","2","50","11","1","rain","7.8","26.6","1780","125","0.433","8.3","30.9","0","25","moderate","1"
"T00121","2026-05-02 12:00","R101","Central Ave","中心区","Eastbound","2","50","12","1","clear","0","28.2","2367","112","0.418","9.7","31.3","0","34","moderate","1"
"T00122","2026-05-02 12:15","R101","Central Ave","中心区","Northbound","3","50","12","1","clear","0","23.6","4322","119","0.392","9.9","24.1","0","41","free_flow","0"
"T00123","2026-05-02 12:30","R418","River Tunnel","隧道区","Westbound","3","70","12","1","cloudy","0","25.7","3874","59","0.2","11.3","19.1","0","70","free_flow","0"
"T00124","2026-05-02 12:45","R330","Commerce Blvd","商业区","Eastbound","2","55","12","1","clear","0","32.8","2702","95","0.348","10.5","35.3","0","44","free_flow","0"
"T00125","2026-05-02 13:00","R418","River Tunnel","隧道区","Eastbound","2","70","13","1","cloudy","0","32.7","2617","55","0.174","11.3","21.6","1","58","free_flow","0"
"T00126","2026-05-02 13:15","R330","Commerce Blvd","商业区","Southbound","3","55","13","1","rain","0.6","19.1","1663","140","0.515","9.8","33.2","0","27","moderate","1"
"T00127","2026-05-02 13:30","R418","River Tunnel","隧道区","Northbound","3","70","13","1","clear","0","25.9","4144","97","0.35","11.2","20.2","0","59","free_flow","0"
"T00128","2026-05-02 13:45","R101","Central Ave","中心区","Westbound","2","50","13","1","rain","17.4","27.3","1987","111","0.352","10.7","43.3","0","31","moderate","1"
"T00129","2026-05-02 14:00","R101","Central Ave","中心区","Northbound","2","50","14","1","clear","0","29.1","3418","119","0.47","9.3","33.3","0","39","moderate","0"
"T00130","2026-05-02 14:15","R101","Central Ave","中心区","Southbound","1","50","14","1","rain","7.3","31.7","908","63","0.224","10.4","25.3","0","39","moderate","0"
"T00131","2026-05-02 14:30","R205","University Rd","学校区","Southbound","1","60","14","1","clear","0","32.3","4998","137","0.491","9.7","15","0","46","free_flow","0"
"T00132","2026-05-02 14:45","R101","Central Ave","中心区","Northbound","2","50","14","1","clear","0","26.7","4050","128","0.447","9.6","26.6","0","38","moderate","0"
"T00133","2026-05-02 15:00","R101","Central Ave","中心区","Southbound","3","50","15","1","rain","3.7","23.8","2035","136","0.436","9.1","38.6","0","31","moderate","1"
"T00134","2026-05-02 15:15","R205","University Rd","学校区","Southbound","2","60","15","1","clear","0","20.8","3834","77","0.329","10.5","17.1","0","59","free_flow","0"
"T00135","2026-05-02 15:30","R418","River Tunnel","隧道区","Southbound","1","70","15","1","clear","0","23.4","5634","66","0.234","9.9","25.5","0","73","free_flow","0"
"T00136","2026-05-02 15:45","R418","River Tunnel","隧道区","Northbound","1","70","15","1","clear","0","31.3","3458","97","0.4","10.5","22.1","0","58","free_flow","0"
"T00137","2026-05-02 16:00","R418","River Tunnel","隧道区","Westbound","2","70","16","1","clear","0","18.6","5320","55","0.249","12.5","18.1","0","70","free_flow","0"
"T00138","2026-05-02 16:15","R101","Central Ave","中心区","Eastbound","3","50","16","1","clear","0","24.9","3046","126","0.444","8","23.4","0","36","moderate","0"
"T00139","2026-05-02 16:30","R205","University Rd","学校区","Westbound","1","60","16","1","rain","14.2","19.4","2445","85","0.358","9.5","38.6","0","49","free_flow","0"
"T00140","2026-05-02 16:45","R330","Commerce Blvd","商业区","Eastbound","3","55","16","1","fog","0","33","586","86","0.35","10.9","45.5","0","41","free_flow","0"
"T00141","2026-05-02 17:00","R101","Central Ave","中心区","Northbound","2","50","17","1","fog","0","33.1","719","166","0.534","7.1","51.5","0","15","severe","1"
"T00142","2026-05-02 17:15","R418","River Tunnel","隧道区","Westbound","2","70","17","1","fog","0","26.2","340","138","0.447","9.5","58.3","0","47","free_flow","0"
"T00143","2026-05-02 17:30","R330","Commerce Blvd","商业区","Northbound","1","55","17","1","clear","0","32.8","5120","257","0.917","3.9","45.4","0","9","severe","1"
"T00144","2026-05-02 17:45","R101","Central Ave","中心区","Southbound","3","50","17","1","clear","0","27.2","2689","188","0.65","8.1","52.6","0","18","severe","1"
"T00145","2026-05-02 18:00","R418","River Tunnel","隧道区","Southbound","1","70","18","1","cloudy","0","28.1","5554","154","0.543","7.7","40","1","34","moderate","1"
"T00146","2026-05-02 18:15","R330","Commerce Blvd","商业区","Eastbound","2","55","18","1","cloudy","0","20.9","2261","213","0.688","5.1","37.4","0","20","severe","1"
"T00147","2026-05-02 18:30","R418","River Tunnel","隧道区","Eastbound","1","70","18","1","clear","0","21.5","5972","200","0.745","6.6","51.1","0","34","moderate","1"
"T00148","2026-05-02 18:45","R418","River Tunnel","隧道区","Westbound","2","70","18","1","clear","0","24.6","4658","235","0.823","6.7","48.3","0","31","moderate","1"
"T00149","2026-05-02 19:00","R101","Central Ave","中心区","Northbound","3","50","19","1","cloudy","0","23.2","4354","206","0.731","7","53.9","0","14","severe","1"
"T00150","2026-05-02 19:15","R330","Commerce Blvd","商业区","Eastbound","1","55","19","1","fog","0","29.5","198","264","0.89","3.7","65.6","0","8","severe","1"
"T00151","2026-05-02 19:30","R205","University Rd","学校区","Northbound","1","60","19","1","rain","6.3","26","1846","243","0.79","5.4","64.4","0","8","severe","1"
"T00152","2026-05-02 19:45","R330","Commerce Blvd","商业区","Eastbound","2","55","19","1","clear","0","27.4","3738","237","0.8","5","45.1","0","15","severe","1"
"T00153","2026-05-02 20:00","R330","Commerce Blvd","商业区","Northbound","2","55","20","1","rain","9","19.2","1590","119","0.466","8.4","41.9","0","26","moderate","1"
"T00154","2026-05-02 20:15","R101","Central Ave","中心区","Eastbound","2","50","20","1","clear","0","20.6","4292","119","0.406","10.4","18.9","0","37","moderate","0"
"T00155","2026-05-02 20:30","R205","University Rd","学校区","Northbound","2","60","20","1","cloudy","0","28","2478","83","0.259","9.7","16.3","0","60","free_flow","0"
"T00156","2026-05-02 20:45","R205","University Rd","学校区","Southbound","1","60","20","1","clear","0","20","5547","61","0.222","12.4","34.9","0","53","free_flow","0"
"T00157","2026-05-02 21:00","R330","Commerce Blvd","商业区","Westbound","2","55","21","1","cloudy","0","27.3","5085","140","0.467","9.5","24","0","36","moderate","0"
"T00158","2026-05-02 21:15","R330","Commerce Blvd","商业区","Northbound","1","55","21","1","clear","0","24.8","4130","161","0.595","7.7","21.4","0","29","moderate","1"
"T00159","2026-05-02 21:30","R418","River Tunnel","隧道区","Southbound","1","70","21","1","cloudy","0","33.1","3345","46","0.175","12.9","32.8","1","58","free_flow","0"
"T00160","2026-05-02 21:45","R418","River Tunnel","隧道区","Northbound","1","70","21","1","cloudy","0","21.9","3792","79","0.276","11.3","18.8","0","67","free_flow","0"
"T00161","2026-05-02 22:00","R330","Commerce Blvd","商业区","Westbound","2","55","22","1","clear","0","32.9","5514","103","0.326","9","21.9","0","53","free_flow","0"
"T00162","2026-05-02 22:15","R418","River Tunnel","隧道区","Southbound","1","70","22","1","rain","6.6","19.6","2096","103","0.337","9","25.3","0","50","free_flow","0"
"T00163","2026-05-02 22:30","R205","University Rd","学校区","Northbound","3","60","22","1","clear","0","26.1","4969","58","0.159","11.7","30.3","0","64","free_flow","0"
"T00164","2026-05-02 22:45","R205","University Rd","学校区","Southbound","3","60","22","1","rain","8.9","23.6","1726","65","0.29","11","35.8","0","46","free_flow","0"
"T00165","2026-05-02 23:00","R418","River Tunnel","隧道区","Westbound","1","70","23","1","clear","0","24.9","5506","81","0.322","11.2","22.9","0","62","free_flow","0"
"T00166","2026-05-02 23:15","R418","River Tunnel","隧道区","Northbound","1","70","23","1","clear","0","30.9","2892","89","0.374","11.4","27.2","0","60","free_flow","0"
"T00167","2026-05-02 23:30","R330","Commerce Blvd","商业区","Eastbound","2","55","23","1","clear","0","19.4","3433","130","0.449","8.7","22","0","42","free_flow","0"
"T00168","2026-05-02 23:45","R101","Central Ave","中心区","Eastbound","2","50","23","1","clear","0","19.6","3175","96","0.329","11","22.3","0","47","free_flow","0"
"T00169","2026-05-03 00:00","R330","Commerce Blvd","商业区","Westbound","2","55","0","1","cloudy","0","26.1","4688","137","0.428","8.4","19.7","0","46","free_flow","0"
"T00170","2026-05-03 00:15","R418","River Tunnel","隧道区","Westbound","3","70","0","1","clear","0","24.5","3786","47","0.193","12.7","16.7","0","79","free_flow","0"
"T00171","2026-05-03 00:30","R205","University Rd","学校区","Eastbound","1","60","0","1","clear","0","26.9","2995","135","0.47","8.6","18","0","45","free_flow","0"
